cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
P2,P,20,-0.0004377484325273,-0.0024046233650639,-0.0028423717975913,20000000.0,1.0,19.0,0.42,False
I1,I,20,,0.002533,0.002533,37016893.36214859,1.0,19.0,0.42,False
I2,I,20,,0.001267,0.001267,33254822.24178272,1.0,19.0,0.42,False
I3,I,20,,0.001596,0.001596,34371541.60728997,1.0,19.0,0.42,False
P1,P,21,-0.000656376341234,-0.0015649523992825,-0.0022213287405166,20000000.0,1.0,19.0,0.42,False
P2,P,21,-0.0004329440470368,-0.0026224384455351,-0.0030553824925719,20000000.0,1.0,19.0,0.42,False
I1,I,21,,0.002533,0.002533,37322233.47938987,1.0,19.0,0.42,False
I2,I,21,,0.001267,0.001267,33536829.773774568,1.0,19.0,0.42,False
I3,I,21,,0.001596,0.001596,34524317.39357449,1.0,19.0,0.42,False
P1,P,22,-0.0006204999952716,-0.0016602723104136,-0.0022807723056852,20000000.0,1.0,19.0,0.42,False
P2,P,22,-0.0004108470328135,-0.0027091440360391,-0.0031199910688526,20000000.0,1.0,19.0,0.42,False
I1,I,22,,0.002533,0.002533,37191782.6586325,1.0,19.0,0.42,False
I2,I,22,,0.001267,0.001267,33417692.09211752,1.0,19.0,0.42,False
I3,I,22,,0.001596,0.001596,34351155.02442057,1.0,19.0,0.42,False
P1,P,23,-0.0005790948616886,-0.0017223009691606,-0.0023013958308492,20000000.0,1.0,19.0,0.42,False
P2,P,23,-0.0003853449144203,-0.0027479581754333,-0.0031333030898537,20000000.0,1.0,19.0,0.42,False
I1,I,23,,0.002533,0.002533,36941324.11984771,1.0,19.0,0.42,False
I2,I,23,,0.001267,0.001267,33186611.87371723,1.0,19.0,0.42,False
I3,I,23,,0.001596,0.001596,34085405.13084532,1.0,19.0,0.42,False
P1,P,24,-0.0005397320003943,-0.0017709050965595,-0.0023106370969538,20000000.0,1.0,19.0,0.42,False
P2,P,24,-0.0003609948528898,-0.0027681749215917,-0.0031291697744816,20000000.0,1.0,19.0,0.42,False
I1,I,24,,0.002533,0.002533,36668614.694319695,1.0,19.0,0.42,False
I2,I,24,,0.001267,0.001267,32934998.55964481,1.0,19.0,0.42,False
I3,I,24,,0.001596,0.001596,33808322.705042526,1.0,19.0,0.42,False
P1,P,25,-0.0005043599858243,-0.0018128235830686,-0.0023171835688929,20000000.0,1.0,19.0,0.42,False
P2,P,25,-0.0003389331092762,-0.0027803227965069,-0.0031192559057831,20000000.0,1.0,19.0,0.42,False
I1,I,25,,0.002533,0.002533,36404049.57341312,1.0,19.0,0.42,False
I2,I,25,,0.001267,0.001267,32691284.23590092,1.0,19.0,0.42,False
I3,I,25,,0.001596,0.001596,33544448.12027558,1.0,19.0,0.42,False
